model,metric,mean,ci_lower,ci_upper,std,n_seeds
lightgbm,ece,0.17788049843341455,0.17788049843341455,0.17788049843341455,0.0,1
lightgbm,prevalence,0.272,0.272,0.272,0.0,1
lightgbm,n,750.0,750.0,750.0,0.0,1
lightgbm,t0.5_sensitivity,0.22058823529411764,0.22058823529411764,0.22058823529411764,0.0,1
lightgbm,t0.5_specificity,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.0,1
lightgbm,t0.5_ppv,0.3488372093023256,0.3488372093023256,0.3488372093023256,0.0,1
lightgbm,t0.5_npv,0.7439613526570048,0.7439613526570048,0.7439613526570048,0.0,1
lightgbm,t0.5_threshold,0.5,0.5,0.5,0.0,1
lightgbm,t80sp_sensitivity,0.29901960784313725,0.29901960784313725,0.29901960784313725,0.0,1
lightgbm,t80sp_specificity,0.8003663003663004,0.8003663003663004,0.8003663003663004,0.0,1
lightgbm,t80sp_ppv,0.3588235294117647,0.3588235294117647,0.3588235294117647,0.0,1
lightgbm,t80sp_npv,0.753448275862069,0.753448275862069,0.753448275862069,0.0,1
lightgbm,t80sp_threshold,0.41618655776780866,0.41618655776780866,0.41618655776780866,0.0,1
lightgbm,fairness_sex_worst_subgroup_auroc,0.5881138567406944,0.5881138567406944,0.5881138567406944,0.0,1
lightgbm,fairness_sex_mean_subgroup_auroc,0.5928997927003825,0.5928997927003825,0.5928997927003825,0.0,1
lightgbm,fairness_sex_demographic_parity_gap,0.04332114525199393,0.04332114525199393,0.04332114525199393,0.0,1
lightgbm,fairness_sex_equalized_odds_tpr_gap,0.04719101123595504,0.04719101123595504,0.04719101123595504,0.0,1
lightgbm,fairness_sex_equalized_odds_fpr_gap,0.005637281219800339,0.005637281219800339,0.005637281219800339,0.0,1
lightgbm,fairness_race_worst_subgroup_auroc,0.4895833333333333,0.4895833333333333,0.4895833333333333,0.0,1
lightgbm,fairness_race_mean_subgroup_auroc,0.565078382484028,0.565078382484028,0.565078382484028,0.0,1
lightgbm,fairness_race_demographic_parity_gap,0.13214285714285715,0.13214285714285715,0.13214285714285715,0.0,1
lightgbm,fairness_race_equalized_odds_tpr_gap,0.16728076639646278,0.16728076639646278,0.16728076639646278,0.0,1
lightgbm,fairness_race_equalized_odds_fpr_gap,0.12735849056603776,0.12735849056603776,0.12735849056603776,0.0,1
lightgbm,fairness_age_group_worst_subgroup_auroc,0.5635338345864662,0.5635338345864662,0.5635338345864662,0.0,1
lightgbm,fairness_age_group_mean_subgroup_auroc,0.5735399626781489,0.5735399626781489,0.5735399626781489,0.0,1
lightgbm,fairness_age_group_demographic_parity_gap,0.11301184449235854,0.11301184449235854,0.11301184449235854,0.0,1
lightgbm,fairness_age_group_equalized_odds_tpr_gap,0.1972950126796281,0.1972950126796281,0.1972950126796281,0.0,1
lightgbm,fairness_age_group_equalized_odds_fpr_gap,0.09467672989580556,0.09467672989580556,0.09467672989580556,0.0,1
lightgbm,seed,42.0,42.0,42.0,0.0,1
logistic_regression,auroc,0.6474807871866695,0.6474807871866695,0.6474807871866695,0.0,1
logistic_regression,auprc,0.43571627879395397,0.43571627879395397,0.43571627879395397,0.0,1
logistic_regression,brier_score,0.2303206029953443,0.2303206029953443,0.2303206029953443,0.0,1
logistic_regression,ece,0.2096734458671978,0.2096734458671978,0.2096734458671978,0.0,1
logistic_regression,prevalence,0.272,0.272,0.272,0.0,1
logistic_regression,n,750.0,750.0,750.0,0.0,1
logistic_regression,t0.5_sensitivity,0.6029411764705882,0.6029411764705882,0.6029411764705882,0.0,1
logistic_regression,t0.5_specificity,0.6245421245421245,0.6245421245421245,0.6245421245421245,0.0,1
logistic_regression,t0.5_ppv,0.375,0.375,0.375,0.0,1
logistic_regression,t0.5_npv,0.8080568720379147,0.8080568720379147,0.8080568720379147,0.0,1
logistic_regression,t0.5_threshold,0.5,0.5,0.5,0.0,1
logistic_regression,t80sp_sensitivity,0.4068627450980392,0.4068627450980392,0.4068627450980392,0.0,1
logistic_regression,t80sp_specificity,0.8021978021978022,0.8021978021978022,0.8021978021978022,0.0,1
logistic_regression,t80sp_ppv,0.43455497382198954,0.43455497382198954,0.43455497382198954,0.0,1
logistic_regression,t80sp_npv,0.7835420393559929,0.7835420393559929,0.7835420393559929,0.0,1
logistic_regression,t80sp_threshold,0.5708309040826266,0.5708309040826266,0.5708309040826266,0.0,1
logistic_regression,fairness_sex_worst_subgroup_auroc,0.6257741632780732,0.6257741632780732,0.6257741632780732,0.0,1
logistic_regression,fairness_sex_mean_subgroup_auroc,0.6516217789390534,0.6516217789390534,0.6516217789390534,0.0,1
logistic_regression,fairness_sex_demographic_parity_gap,0.04332114525199393,0.04332114525199393,0.04332114525199393,0.0,1
logistic_regression,fairness_sex_equalized_odds_tpr_gap,0.006741573033707926,0.006741573033707926,0.006741573033707926,0.0,1
logistic_regression,fairness_sex_equalized_odds_fpr_gap,0.032078814560292046,0.032078814560292046,0.032078814560292046,0.0,1
logistic_regression,fairness_race_worst_subgroup_auroc,0.5729166666666666,0.5729166666666666,0.5729166666666666,0.0,1
logistic_regression,fairness_race_mean_subgroup_auroc,0.6185026010601951,0.6185026010601951,0.6185026010601951,0.0,1
logistic_regression,fairness_race_demographic_parity_gap,0.13214285714285715,0.13214285714285715,0.13214285714285715,0.0,1
logistic_regression,fairness_race_equalized_odds_tpr_gap,0.24925224327018947,0.24925224327018947,0.24925224327018947,0.0,1
logistic_regression,fairness_race_equalized_odds_fpr_gap,0.11871069182389937,0.11871069182389937,0.11871069182389937,0.0,1
logistic_regression,fairness_age_group_worst_subgroup_auroc,0.6007518796992481,0.6007518796992481,0.6007518796992481,0.0,1
logistic_regression,fairness_age_group_mean_subgroup_auroc,0.6205108030340772,0.6205108030340772,0.6205108030340772,0.0,1
logistic_regression,fairness_age_group_demographic_parity_gap,0.11301184449235854,0.11301184449235854,0.11301184449235854,0.0,1
logistic_regression,fairness_age_group_equalized_odds_tpr_gap,0.38292476754015214,0.38292476754015214,0.38292476754015214,0.0,1
logistic_regression,fairness_age_group_equalized_odds_fpr_gap,0.31061314453646816,0.31061314453646816,0.31061314453646816,0.0,1
logistic_regression,seed,42.0,42.0,42.0,0.0,1
mlp,auroc,0.6174226100696689,0.6174226100696689,0.6174226100696689,0.0,1
mlp,auprc,0.39211407789844976,0.39211407789844976,0.39211407789844976,0.0,1
mlp,brier_score,0.22414369913449086,0.22414369913449086,0.22414369913449086,0.0,1
mlp,ece,0.17482658124963443,0.17482658124963443,0.17482658124963443,0.0,1
mlp,prevalence,0.272,0.272,0.272,0.0,1
mlp,n,750.0,750.0,750.0,0.0,1
mlp,t0.5_sensitivity,0.5147058823529411,0.5147058823529411,0.5147058823529411,0.0,1
mlp,t0.5_specificity,0.6868131868131868,0.6868131868131868,0.6868131868131868,0.0,1
mlp,t0.5_ppv,0.3804347826086957,0.3804347826086957,0.3804347826086957,0.0,1
mlp,t0.5_npv,0.7911392405063291,0.7911392405063291,0.7911392405063291,0.0,1
mlp,t0.5_threshold,0.5,0.5,0.5,0.0,1
mlp,t80sp_sensitivity,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.0,1
mlp,t80sp_specificity,0.8003663003663004,0.8003663003663004,0.8003663003663004,0.0,1
mlp,t80sp_ppv,0.41081081081081083,0.41081081081081083,0.41081081081081083,0.0,1
mlp,t80sp_npv,0.7734513274336283,0.7734513274336283,0.7734513274336283,0.0,1
mlp,t80sp_threshold,0.5602124929428101,0.5602124929428101,0.5602124929428101,0.0,1
mlp,fairness_sex_worst_subgroup_auroc,0.5932436659368158,0.5932436659368158,0.5932436659368158,0.0,1
mlp,fairness_sex_mean_subgroup_auroc,0.6203263441205125,0.6203263441205125,0.6203263441205125,0.0,1
mlp,fairness_sex_demographic_parity_gap,0.04332114525199393,0.04332114525199393,0.04332114525199393,0.0,1
mlp,fairness_sex_equalized_odds_tpr_gap,0.016121152906692693,0.016121152906692693,0.016121152906692693,0.0,1
mlp,fairness_sex_equalized_odds_fpr_gap,0.014173735638355,0.014173735638355,0.014173735638355,0.0,1
mlp,fairness_race_worst_subgroup_auroc,0.515625,0.515625,0.515625,0.0,1
mlp,fairness_race_mean_subgroup_auroc,0.581209373414805,0.581209373414805,0.581209373414805,0.0,1
mlp,fairness_race_demographic_parity_gap,0.13214285714285715,0.13214285714285715,0.13214285714285715,0.0,1
mlp,fairness_race_equalized_odds_tpr_gap,0.38334995014955137,0.38334995014955137,0.38334995014955137,0.0,1
mlp,fairness_race_equalized_odds_fpr_gap,0.12614555256064697,0.12614555256064697,0.12614555256064697,0.0,1
mlp,fairness_age_group_worst_subgroup_auroc,0.5520676691729323,0.5520676691729323,0.5520676691729323,0.0,1
mlp,fairness_age_group_mean_subgroup_auroc,0.5840039784605537,0.5840039784605537,0.5840039784605537,0.0,1
mlp,fairness_age_group_demographic_parity_gap,0.11301184449235854,0.11301184449235854,0.11301184449235854,0.0,1
mlp,fairness_age_group_equalized_odds_tpr_gap,0.4143702451394759,0.4143702451394759,0.4143702451394759,0.0,1
mlp,fairness_age_group_equalized_odds_fpr_gap,0.2607868020304569,0.2607868020304569,0.2607868020304569,0.0,1
mlp,seed,42.0,42.0,42.0,0.0,1
tabnet,auroc,0.5299773755656109,0.5299773755656109,0.5299773755656109,0.0,1
tabnet,auprc,0.30159227672992406,0.30159227672992406,0.30159227672992406,0.0,1
tabnet,brier_score,0.2652991546291895,0.2652991546291895,0.2652991546291895,0.0,1
tabnet,ece,0.23946514464369587,0.23946514464369587,0.23946514464369587,0.0,1
tabnet,prevalence,0.272,0.272,0.272,0.0,1
tabnet,n,750.0,750.0,750.0,0.0,1
tabnet,t0.5_sensitivity,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.0,1
tabnet,t0.5_specificity,0.5,0.5,0.5,0.0,1
tabnet,t0.5_ppv,0.28346456692913385,0.28346456692913385,0.28346456692913385,0.0,1
tabnet,t0.5_npv,0.7398373983739838,0.7398373983739838,0.7398373983739838,0.0,1
tabnet,t0.5_threshold,0.5,0.5,0.5,0.0,1
tabnet,t80sp_sensitivity,0.23039215686274508,0.23039215686274508,0.23039215686274508,0.0,1
tabnet,t80sp_specificity,0.8003663003663004,0.8003663003663004,0.8003663003663004,0.0,1
tabnet,t80sp_ppv,0.30128205128205127,0.30128205128205127,0.30128205128205127,0.0,1
tabnet,t80sp_npv,0.7356902356902357,0.7356902356902357,0.7356902356902357,0.0,1
tabnet,t80sp_threshold,0.6171937584877014,0.6171937584877014,0.6171937584877014,0.0,1
tabnet,fairness_sex_worst_subgroup_auroc,0.5024710666249609,0.5024710666249609,0.5024710666249609,0.0,1
tabnet,fairness_sex_mean_subgroup_auroc,0.5336646797152977,0.5336646797152977,0.5336646797152977,0.0,1
tabnet,fairness_sex_demographic_parity_gap,0.04332114525199393,0.04332114525199393,0.04332114525199393,0.0,1
tabnet,fairness_sex_equalized_odds_tpr_gap,0.07738153395212499,0.07738153395212499,0.07738153395212499,0.0,1
tabnet,fairness_sex_equalized_odds_fpr_gap,0.007328465585740407,0.007328465585740407,0.007328465585740407,0.0,1
tabnet,fairness_race_worst_subgroup_auroc,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.0,1
tabnet,fairness_race_mean_subgroup_auroc,0.5248841149829071,0.5248841149829071,0.5248841149829071,0.0,1
tabnet,fairness_race_demographic_parity_gap,0.13214285714285715,0.13214285714285715,0.13214285714285715,0.0,1
tabnet,fairness_race_equalized_odds_tpr_gap,0.22669491525423724,0.22669491525423724,0.22669491525423724,0.0,1
tabnet,fairness_race_equalized_odds_fpr_gap,0.22764227642276424,0.22764227642276424,0.22764227642276424,0.0,1
tabnet,fairness_age_group_worst_subgroup_auroc,0.521896494758658,0.521896494758658,0.521896494758658,0.0,1
tabnet,fairness_age_group_mean_subgroup_auroc,0.5313429842214342,0.5313429842214342,0.5313429842214342,0.0,1
tabnet,fairness_age_group_demographic_parity_gap,0.11301184449235854,0.11301184449235854,0.11301184449235854,0.0,1
tabnet,fairness_age_group_equalized_odds_tpr_gap,0.052747252747252726,0.052747252747252726,0.052747252747252726,0.0,1
tabnet,fairness_age_group_equalized_odds_fpr_gap,0.08205316590969813,0.08205316590969813,0.08205316590969813,0.0,1
tabnet,seed,42.0,42.0,42.0,0.0,1
xgboost,auroc,0.5958126840479782,0.5958126840479782,0.5958126840479782,0.0,1
xgboost,auprc,0.36910210916966135,0.36910210916966135,0.36910210916966135,0.0,1
xgboost,brier_score,0.20228289315129502,0.20228289315129502,0.20228289315129502,0.0,1
xgboost,ece,0.08227465512230993,0.08227465512230993,0.08227465512230993,0.0,1
xgboost,prevalence,0.272,0.272,0.272,0.0,1
xgboost,n,750.0,750.0,750.0,0.0,1
xgboost,t0.5_sensitivity,0.15196078431372548,0.15196078431372548,0.15196078431372548,0.0,1
xgboost,t0.5_specificity,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,1
xgboost,t0.5_ppv,0.4246575342465753,0.4246575342465753,0.4246575342465753,0.0,1
xgboost,t0.5_npv,0.7444608567208272,0.7444608567208272,0.7444608567208272,0.0,1
xgboost,t0.5_threshold,0.5,0.5,0.5,0.0,1
xgboost,t80sp_sensitivity,0.30392156862745096,0.30392156862745096,0.30392156862745096,0.0,1
xgboost,t80sp_specificity,0.8040293040293041,0.8040293040293041,0.8040293040293041,0.0,1
xgboost,t80sp_ppv,0.3668639053254438,0.3668639053254438,0.3668639053254438,0.0,1
xgboost,t80sp_npv,0.7555938037865749,0.7555938037865749,0.7555938037865749,0.0,1
xgboost,t80sp_threshold,0.38353589177131653,0.38353589177131653,0.38353589177131653,0.0,1
xgboost,fairness_sex_worst_subgroup_auroc,0.5910196209961428,0.5910196209961428,0.5910196209961428,0.0,1
xgboost,fairness_sex_mean_subgroup_auroc,0.5980277961095821,0.5980277961095821,0.5980277961095821,0.0,1
xgboost,fairness_sex_demographic_parity_gap,0.04332114525199393,0.04332114525199393,0.04332114525199393,0.0,1
xgboost,fairness_sex_equalized_odds_tpr_gap,0.009477283829995103,0.009477283829995103,0.009477283829995103,0.0,1
xgboost,fairness_sex_equalized_odds_fpr_gap,0.0028186406099001138,0.0028186406099001138,0.0028186406099001138,0.0,1
xgboost,fairness_race_worst_subgroup_auroc,0.5208333333333333,0.5208333333333333,0.5208333333333333,0.0,1
xgboost,fairness_race_mean_subgroup_auroc,0.5756489082194522,0.5756489082194522,0.5756489082194522,0.0,1
xgboost,fairness_race_demographic_parity_gap,0.13214285714285715,0.13214285714285715,0.13214285714285715,0.0,1
xgboost,fairness_race_equalized_odds_tpr_gap,0.10351966873706003,0.10351966873706003,0.10351966873706003,0.0,1
xgboost,fairness_race_equalized_odds_fpr_gap,0.057681940700808676,0.057681940700808676,0.057681940700808676,0.0,1
xgboost,fairness_age_group_worst_subgroup_auroc,0.5421052631578948,0.5421052631578948,0.5421052631578948,0.0,1
xgboost,fairness_age_group_mean_subgroup_auroc,0.5666553108208301,0.5666553108208301,0.5666553108208301,0.0,1
xgboost,fairness_age_group_demographic_parity_gap,0.11301184449235854,0.11301184449235854,0.11301184449235854,0.0,1
xgboost,fairness_age_group_equalized_odds_tpr_gap,0.1489433643279797,0.1489433643279797,0.1489433643279797,0.0,1
xgboost,fairness_age_group_equalized_odds_fpr_gap,0.033662837296286385,0.033662837296286385,0.033662837296286385,0.0,1
xgboost,seed,42.0,42.0,42.0,0.0,1
